reaction_id,flux_mmol_gDW_h
COAth,2.6591815164408797e-16
H2tm,-2.248994007751703e-16
H2th,2.248994007751703e-16
HYDAm,2.248994007751703e-16
HYDAh,-2.2489940077517025e-16
GLUS_ferr,2.2489940077517025e-16
NADtm,-1.968734797905087e-16
DM_na1_c,1.6964873660635217e-16
RBK,4.924194383869997e-17
R5Pth,4.924194383869997e-17
NAPT,4.15092878781889e-17
NCAMt,-4.15092878781889e-17
EX_ncam_e,4.15092878781889e-17
ANNAT,-4.150928787818889e-17
UPRT,-4.150928787818889e-17
UMPP,4.150928787818889e-17
URIH,4.1509287878188886e-17
EX_h_e,3.7458263349536365e-17
UREAtm,-7.732655960511086e-18
ATNAH,7.732655960511084e-18
ATS,7.732655960511084e-18
I5NT,7.732655960511084e-18
URATEtm,7.732655960511084e-18
ISRH,7.732655960511084e-18
ALPH,7.732655960511084e-18
URCB,7.732655960511084e-18
ATAH,7.732655960511084e-18
URDGLYCAH,7.732655960511083e-18
HIUH,7.732655960511083e-18
URDGLYCAtm,-7.732655960511083e-18
XNDH,7.732655960511083e-18
XANDH,7.732655960511083e-18
URO,7.732655960511083e-18
ATDAM,0.0
ATDAMh,0.0
APNn,0.0
APN,0.0
X5NT,0.0
ATAH_co2,0.0
R5PDP,0.0
APATT,0.0
XTSNRH,0.0
ARDP,0.0
RSPN,0.0
SUAT,0.0
BTPS,0.0
ATDAMm,0.0
GMPS,0.0
GMPS_glu_m,0.0
GMPSm,0.0
GTPA,0.0
GTPDPK,0.0
PRAIS,0.0
PPRGLh,0.0
PPRGL,0.0
PAPSTYRST,0.0
NTPD,0.0
GTPOPm,0.0
GUAC,0.0
GUACn,0.0
NTDP,0.0
NDPKm,0.0
ATAMf,0.0
GUAD,0.0
IDPA,0.0
IMPD,0.0
IMPDm,0.0
ITPP,0.0
ITPA,0.0
GMPS_glu,0.0
GMP5N,0.0
ATDGD,0.0
GDPA,0.0
ATDGDm,0.0
ATDGM,0.0
ATGD,0.0
ATGDm,0.0
ATID,0.0
ATIDm,0.0
ATPPHm,0.0
PRFGSh,0.0
BPNT,0.0
BTP,0.0
DAOTO,0.0
DAPOP,0.0
PRFGS,0.0
PRFGCLh,0.0
DGOTO,0.0
DGTD,0.0
GCPN,0.0
PRFGCL,0.0
PRDPAR,0.0
PRAISh,0.0
GCPNn,0.0
NDPK,0.0
AAT,0.0
AGPTf,0.0
TPH,0.0
GLYOXm,0.0
D_LACDHm,0.0
APhi,0.0
ALDDHm,0.0
ALCDHmi,0.0
ALCDHi,0.0
ALCDH_nadp_i,0.0
ALCDH_nadp_hi,0.0
ACDHi,0.0
ACCOAhi,0.0
ACALD,0.0
ACACT,0.0
LLDHm,0.0
LLDHh,0.0
LDHm,0.0
LALDD2,0.0
UMPKf,0.0
ATDCMf,0.0
ATCMf,0.0
UTUP,0.0
UTPPH,0.0
UTPH,0.0
UTGAL,0.0
UTCY,0.0
UTAL,0.0
UPH,0.0
UMPK,0.0
IPPSh,0.0
LALDD1,0.0
LGTHL,0.0
LUMIRHODOPSINI,0.0
ARZS,0.0
ARPT,0.0
AFAT,0.0
DBRC,0.0
TRETINOLPMTACT,0.0
RHODOPSINRT,0.0
RHODOPSINI,0.0
RETPALMIH,0.0
RETINOLSAT,0.0
RETINOLACACT,0.0
